idx,question_type,dataset,kind,correct,tokens,time_s,tok_per_s,forwards,gt_first,pred_first
0,"Regular Text Recognition","IIIT5K",diff,0,256,6.96,36.8,8,"CENTRE","The image contains the word "Centrie" written in a stylized  cursive-like font. "
1,"Regular Text Recognition","IIIT5K",diff,1,256,5.01,51.1,5,"FRIEND","The image contains the word "Friend".<eos><eos><eos><eos><eos><eos><eos><eos><eo"
2,"Regular Text Recognition","IIIT5K",diff,1,256,5.74,44.6,6,"CHAIN","The image contains the word **Chain** written in white  bold  stylized letters a"
3,"Regular Text Recognition","IIIT5K",diff,1,256,4.62,55.4,4,"CLOSE","The word written in the image is **CLOSE**.<eos><eos><eos><eos><eos><eos><eos><e"
4,"Regular Text Recognition","IIIT5K",diff,1,256,4.03,63.6,3,"MARKET","The image contains the word **MARKET**.<eos><eos><eos><eos><eos><eos><eos><eos><"
5,"Regular Text Recognition","IIIT5K",diff,1,256,5.18,49.4,5,"EXTRA","The image contains the word **EXTRA** in large  black  capital letters.<eos><eos"
6,"Regular Text Recognition","IIIT5K",diff,1,256,5.65,45.3,6,"MOBI","The image contains the word "**mobi**" in a stylized  lowercase font. The letter"
7,"Regular Text Recognition","IIIT5K",diff,1,256,6.27,40.8,7,"COTTAGE","The image contains the word **COTTAGE** in capital letters  with a small graphic"
8,"Regular Text Recognition","IIIT5K",diff,1,256,7.39,34.7,9,"AHEAD","The image contains the word **AHEAD** in large red capital letters. Below it  th"
9,"Regular Text Recognition","IIIT5K",diff,1,256,4.56,56.2,4,"TIMES","The image contains the word **TIMES**.<eos><eos><eos><eos><eos><eos><eos><eos><e"
10,"Regular Text Recognition","IIIT5K",diff,1,256,4.04,63.4,3,"AIRES","The image contains the word "aires".<eos><eos><eos><eos><eos><eos><eos><eos><eos"
11,"Regular Text Recognition","IIIT5K",diff,1,256,6.24,41.0,7,"KARI","The image contains the word "Kari" written in a serif font against a dark  textu"
12,"Regular Text Recognition","IIIT5K",diff,1,256,9.14,28.0,12,"VOTE","The image contains the word **VOTE** written in large  capital letters. Below it"
13,"Regular Text Recognition","IIIT5K",diff,1,256,4.17,61.4,3,"WONDERS","The image contains the word **WONDERS.**<eos><eos><eos><eos><eos><eos><eos><eos>"
14,"Regular Text Recognition","IIIT5K",diff,1,256,6.67,38.4,8,"GROUP","The image contains the word **GROUP** in white capital letters on a black backgr"
15,"Regular Text Recognition","svt",diff,1,256,4.09,62.6,3,"under","The image contains the word **UNDER**.<eos><eos><eos><eos><eos><eos><eos><eos><e"
16,"Regular Text Recognition","svt",diff,1,256,4.01,63.8,3,"palace","The image contains the word **Palace**.<eos><eos><eos><eos><eos><eos><eos><eos><"
17,"Regular Text Recognition","svt",diff,1,256,8.0,32.0,10,"high","The image contains the word **HIGH** in large  capitalized block letters. Above "
18,"Regular Text Recognition","svt",diff,1,256,6.33,40.5,7,"grocery","The image contains the word **GROCERY** in large  bold capital letters. Below it"
19,"Regular Text Recognition","svt",diff,1,256,4.63,55.3,4,"gallery","The image contains the word **GALLERY** in large  white  capital letters.<eos><e"
20,"Regular Text Recognition","svt",diff,0,256,5.16,49.6,5,"motorsports","The image shows the word "MOTPORTSPORTS" in large  red capital letters.<eos><eos"
21,"Regular Text Recognition","svt",diff,1,256,4.62,55.4,4,"united","The image shows the word **UNITED**.<eos><eos><eos><eos><eos><eos><eos><eos><eos"
22,"Regular Text Recognition","svt",diff,1,256,5.14,49.8,5,"western","The image contains the word **WESTERN**.<eos><eos><eos><eos><eos><eos><eos><eos>"
23,"Regular Text Recognition","svt",diff,1,256,4.68,54.7,4,"colorado","The word in the image is "Colorado".<eos><eos><eos><eos><eos><eos><eos><eos><eos"
24,"Regular Text Recognition","svt",diff,1,256,5.19,49.4,5,"hollywood","The image contains the word **HOLLYWOOD** in large  dark capital letters.<eos><e"
25,"Regular Text Recognition","svt",diff,1,256,4.0,64.1,3,"avenue","The word in the image is **AVENUE**.<eos><eos><eos><eos><eos><eos><eos><eos><eos"
26,"Regular Text Recognition","svt",diff,1,256,4.65,55.1,4,"zero","The image contains the word **ZERO**.<eos><eos><eos><eos><eos><eos><eos><eos><eo"
27,"Regular Text Recognition","svt",diff,1,256,4.03,63.6,3,"college","The image contains the word **COLLEGE**.<eos><eos><eos><eos><eos><eos><eos><eos>"
28,"Regular Text Recognition","svt",diff,1,256,8.63,29.7,11,"zula","The image contains the word "Zula" written in a stylized  sans-serif font. Below"
29,"Regular Text Recognition","svt",diff,1,256,5.72,44.8,6,"fitting","The image contains the word "Fitting".<eos><eos><eos><eos><eos><eos><eos><eos><e"
30,"Regular Text Recognition","svt",diff,1,256,4.67,54.8,4,"fahrenheit","The word in the image is **FAHRENHEIT**.<eos><eos><eos><eos><eos><eos><eos><eos>"
31,"Regular Text Recognition","svt",diff,1,256,4.06,63.1,3,"california","The image contains the word **CALIFORNIA**.<eos><eos><eos><eos><eos><eos><eos><e"
32,"Regular Text Recognition","IC13_857",diff,1,256,4.63,55.3,4,"richtungsangabe","The text in the image is the German word **Richtungsangabe**.<eos><eos><eos><eos"
33,"Regular Text Recognition","IC13_857",diff,1,256,6.92,37.0,8,"times","The image contains the word **TIMES** in large  metallic-colored capital letters"
34,"Regular Text Recognition","IC13_857",diff,1,256,4.59,55.8,4,"tawney","The word in the image is **Tawney**.<turn|><eos><eos><eos><eos><eos><eos><eos><e"
35,"Regular Text Recognition","IC13_857",diff,1,256,8.6,29.8,11,"national","The image contains the word **NATIONAL** in large  red capital letters. Below it"
36,"Regular Text Recognition","IC13_857",diff,1,256,4.14,61.8,3,"contractors","The word in the image is "Contractors".<eos><eos><eos><eos><eos><eos><eos><eos><"
37,"Regular Text Recognition","IC13_857",diff,1,256,4.11,62.3,3,"canary","The image contains the word **CANARY**.<eos><eos><eos><eos><eos><eos><eos><eos><"
38,"Regular Text Recognition","IC13_857",diff,1,256,5.26,48.7,5,"euro","The image shows the word **EURO**.<eos><eos><eos><eos><eos><eos><eos><eos><eos><"
39,"Regular Text Recognition","IC13_857",diff,1,256,4.57,56.0,4,"students","The image contains the word **Students**.<eos><eos><eos><eos><eos><eos><eos><eos"
40,"Regular Text Recognition","IC13_857",diff,1,256,4.62,55.4,4,"copies","The word in the image is **COPIES**.<eos><eos><eos><eos><eos><eos><eos><eos><eos"
41,"Regular Text Recognition","IC13_857",diff,1,256,5.71,44.8,6,"vollmar","The image contains the word **Vollmar**.<eos><eos><eos><eos><eos><eos><eos><eos>"
42,"Regular Text Recognition","IC13_857",diff,1,256,5.09,50.3,5,"pigeons","The image contains the word:  **PIGEONS**<eos><eos><eos><eos><eos><eos><eos><eos"
43,"Regular Text Recognition","IC13_857",diff,1,256,4.1,62.5,3,"geld","The word in the image is **GELD**.<eos><eos><eos><eos><eos><eos><eos><eos><eos><"
44,"Regular Text Recognition","IC13_857",diff,1,256,5.69,45.0,6,"music","The image contains the word "music" written in a stylized  lowercase font.<eos><"
45,"Regular Text Recognition","IC13_857",diff,1,256,4.59,55.8,4,"systems","The word written in the image is **systems**.<eos><eos><eos><eos><eos><eos><eos>"
46,"Regular Text Recognition","IC13_857",diff,1,256,6.97,36.7,8,"lead","The image contains the word "**lead**" written in white sans-serif lowercase let"
47,"Regular Text Recognition","IC13_857",diff,1,256,5.07,50.5,5,"under","The image contains the word **Under** written in white text on a red background."
48,"Regular Text Recognition","IC13_857",diff,1,256,5.7,44.9,6,"orange","The image contains the word "orange".<eos><eos><eos><eos><eos><eos><eos><eos><eo"
49,"Regular Text Recognition","IC13_857",diff,1,256,3.42,74.9,2,"borough","The word written in the image is **BOROUGH**.<turn|><eos><eos><eos><eos><eos><eo"
50,"Irregular Text Recognition","IC15_1811",diff,1,256,4.63,55.3,4,"JOINT","The image contains the word **JOINT**.<eos><eos><eos><eos><eos><eos><eos><eos><e"
51,"Irregular Text Recognition","IC15_1811",diff,1,256,5.72,44.8,6,"THANK","The image contains the word "Thank".<eos><eos><eos><eos><eos><eos><eos><eos><eos"
52,"Irregular Text Recognition","IC15_1811",diff,1,256,5.17,49.5,5,"COFFEE","The image contains the word "coffee" written in a stylized  cursive font.<eos><e"
53,"Irregular Text Recognition","IC15_1811",diff,1,256,4.61,55.6,4,"EXPERIENCE","The image contains the word **EXPERIENCE**.<eos><eos><eos><eos><eos><eos><eos><e"
54,"Irregular Text Recognition","IC15_1811",diff,1,256,5.68,45.0,6,"SALE","The image contains the word **SALE** in large  white capital letters on a red ba"
55,"Irregular Text Recognition","IC15_1811",diff,1,256,7.97,32.1,10,"EXCITING","The image contains the word **"exciting"** written in bold  dark letters. Below "
56,"Irregular Text Recognition","IC15_1811",diff,1,256,7.98,32.1,10,"NEXT","The image contains the word "NEXT" in a large  bold  grey font. Below it  there "
